zone_level,support_touches,resistance_touches,total_touches,strength
156.433,891,826,1717,826
156.435,885,826,1711,826
144.15,871,826,1697,826
144.173,859,826,1685,826
156.18,913,825,1738,825
156.183,912,825,1737,825
156.461,884,825,1709,825
156.46,884,825,1709,825
156.445,881,825,1706,825
144.152,870,825,1695,825
144.167,861,825,1686,825
156.457,884,824,1708,824
156.463,884,824,1708,824
156.466,884,824,1708,824
144.157,866,824,1690,824
150.37,844,824,1668,824
156.47,885,823,1708,823
156.488,882,823,1705,823
156.448,882,822,1704,822
156.484,884,821,1705,821
156.485,883,821,1704,821
144.135,876,821,1697,821
156.481,884,820,1704,820
156.499,873,819,1692,819
144.477,821,819,1640,819
146.648,975,818,1793,818
156.163,906,818,1724,818
156.497,874,818,1692,818
156.534,862,818,1680,818
156.535,861,818,1679,818
144.481,821,818,1639,818
156.523,868,817,1685,817
156.526,868,817,1685,817
156.528,866,817,1683,817
144.512,817,819,1636,817
144.55,817,817,1634,817
144.123,875,816,1691,816
144.495,816,817,1633,816
144.498,816,817,1633,816
144.497,816,816,1632,816
156.51,870,815,1685,815
144.095,870,815,1685,815
156.517,867,815,1682,815
144.509,815,818,1633,815
144.5,814,818,1632,814
144.565,814,815,1629,814
144.559,814,814,1628,814
144.104,874,813,1687,813
144.105,872,813,1685,813
144.107,872,813,1685,813
144.541,818,813,1631,813
144.538,817,813,1630,813
144.529,817,813,1630,813
144.537,817,813,1630,813
146.635,965,812,1777,812
144.109,874,812,1686,812
156.542,853,812,1665,812
150.384,833,812,1645,812
150.385,832,812,1644,812
144.531,818,812,1630,812
156.543,853,811,1664,811
146.634,964,810,1774,810
144.089,869,810,1679,810
156.545,853,810,1663,810
156.136,910,809,1719,809
156.549,855,809,1664,809
156.548,853,809,1662,809
156.555,853,809,1662,809
156.554,853,809,1662,809
156.557,850,809,1659,809
144.087,871,808,1679,808
156.559,850,808,1658,808
156.564,848,808,1656,808
150.387,829,808,1637,808
156.575,851,807,1658,807
156.56,849,807,1656,807
156.571,849,807,1656,807
144.578,821,807,1628,807
156.113,910,806,1716,806
156.579,853,806,1659,806
156.116,910,805,1715,805
156.127,907,805,1712,805
144.08,871,805,1676,805
146.628,960,804,1764,804
144.079,870,804,1674,804
150.394,826,804,1630,804
146.623,954,803,1757,803
144.077,873,803,1676,803
144.055,862,803,1665,803
156.58,854,803,1657,803
156.582,853,803,1656,803
144.065,870,801,1671,801
156.601,845,801,1646,801
156.618,840,801,1641,801
156.099,908,800,1708,800
156.1,908,800,1708,800
144.066,870,800,1670,800
144.045,862,800,1662,800
156.615,841,800,1641,800
150.396,825,800,1625,800
156.102,910,799,1709,799
156.086,905,799,1704,799
144.074,874,799,1673,799
156.083,905,798,1703,798
156.076,902,798,1700,798
156.068,902,798,1700,798
156.033,884,798,1682,798
144.041,860,798,1658,798
156.654,831,798,1629,798
144.842,806,798,1604,798
144.843,806,798,1604,798
146.601,940,797,1737,797
156.091,907,797,1704,797
156.061,896,797,1693,797
156.029,884,797,1681,797
156.028,883,797,1680,797
144.033,857,797,1654,797
156.594,846,797,1643,797
156.63,837,797,1634,797
156.628,837,797,1634,797
156.655,831,797,1628,797
150.407,825,797,1622,797
144.849,806,797,1603,797
156.64,834,796,1630,796
156.644,832,796,1628,796
156.661,825,796,1621,796
144.85,806,796,1602,796
146.604,944,795,1739,795
146.597,931,795,1726,795
146.596,931,795,1726,795
146.593,927,795,1722,795
156.055,895,795,1690,795
144.615,813,795,1608,795
144.86,810,795,1605,795
146.617,955,794,1749,794
146.619,954,794,1748,794
146.599,933,794,1727,794
146.594,928,794,1722,794
156.02,882,794,1676,794
144.874,806,794,1600,794
144.873,806,794,1600,794
156.05,894,793,1687,793
144.032,855,793,1648,793
156.669,822,793,1615,793
156.671,820,793,1613,793
144.603,810,793,1603,793
144.867,806,793,1599,793
144.879,798,793,1591,793
146.588,920,792,1712,792
146.587,919,791,1710,791
156.017,883,791,1674,791
144.623,810,791,1601,791
144.889,798,791,1589,791
155.993,870,790,1660,790
155.994,870,790,1660,790
155.997,868,790,1658,790
144.029,852,790,1642,790
144.635,803,790,1593,790
144.887,798,790,1588,790
144.885,798,790,1588,790
144.65,812,789,1601,789
144.653,811,789,1600,789
144.776,811,789,1600,789
144.827,801,789,1590,789
144.892,797,789,1586,789
145.017,796,789,1585,789
144.997,792,789,1581,789
145.036,791,789,1580,789
150.419,830,788,1618,788
150.422,829,788,1617,788
144.651,812,788,1600,788
144.652,812,788,1600,788
144.897,800,788,1588,788
146.584,919,787,1706,787
146.582,918,787,1705,787
155.977,874,787,1661,787
155.976,874,787,1661,787
155.974,873,787,1660,787
155.983,871,787,1658,787
150.423,826,787,1613,787
144.74,816,787,1603,787
144.787,809,787,1596,787
144.999,792,787,1579,787
155.981,875,786,1661,786
144.75,812,786,1598,786
144.753,811,786,1597,786
144.771,810,786,1596,786
144.823,800,786,1586,786
146.578,914,785,1699,785
144.024,851,785,1636,785
156.69,819,785,1604,785
156.687,815,785,1600,785
144.749,813,785,1598,785
144.66,813,785,1598,785
144.784,810,785,1595,785
144.902,802,785,1587,785
144.903,802,785,1587,785
144.909,802,785,1587,785
144.989,791,785,1576,785
144.735,816,784,1600,784
144.734,816,784,1600,784
144.748,815,784,1599,784
155.958,867,783,1650,783
156.691,819,783,1602,783
144.685,810,783,1593,783
144.913,801,783,1584,783
144.912,801,783,1584,783
144.945,797,783,1580,783
144.949,794,783,1577,783
144.985,793,783,1576,783
144.968,793,783,1576,783
145.041,788,783,1571,783
155.955,868,782,1650,782
143.992,847,782,1629,782
144.731,813,782,1595,782
144.691,813,782,1595,782
144.682,810,782,1592,782
144.683,809,782,1591,782
144.813,802,782,1584,782
144.95,794,782,1576,782
144.972,793,782,1575,782
145.058,792,782,1574,782
145.049,785,782,1567,782
144.014,852,781,1633,781
144.696,814,781,1595,781
144.796,804,781,1585,781
144.927,800,781,1581,781
144.963,796,781,1577,781
144.981,795,781,1576,781
145.042,789,781,1570,781
145.06,788,781,1569,781
144.698,815,780,1595,780
144.679,808,780,1588,780
144.932,800,780,1580,780
144.931,800,780,1580,780
144.937,799,780,1579,780
144.93,799,780,1579,780
144.955,796,780,1576,780
144.954,796,780,1576,780
144.96,795,780,1575,780
145.043,789,780,1569,780
150.437,818,779,1597,779
144.92,803,779,1582,779
144.81,801,779,1580,779
144.941,801,779,1580,779
145.072,792,779,1571,779
145.067,791,779,1570,779
146.572,909,778,1687,778
155.952,867,778,1645,778
144.004,851,778,1629,778
143.997,848,778,1626,778
143.984,848,778,1626,778
143.974,847,778,1625,778
144.809,800,778,1578,778
146.573,910,777,1687,777
144.006,850,777,1627,777
143.975,847,777,1624,777
144.7,815,777,1592,777
156.706,814,777,1591,777
156.708,814,777,1591,777
156.705,812,777,1589,777
144.807,799,777,1576,777
155.951,866,776,1642,776
144.007,850,776,1626,776
144.701,817,776,1593,776
144.702,816,776,1592,776
150.446,811,776,1587,776
144.8,804,776,1580,776
144.805,799,776,1575,776
145.076,792,776,1568,776
145.074,792,776,1568,776
155.947,866,774,1640,774
155.949,866,774,1640,774
155.948,865,774,1639,774
145.086,789,774,1563,774
145.084,788,774,1562,774
146.565,905,773,1678,773
143.955,840,773,1613,773
150.449,805,773,1578,773
150.45,804,773,1577,773
145.097,784,773,1557,773
143.938,840,771,1611,771
143.931,836,770,1606,770
150.453,805,770,1575,770
145.105,777,770,1547,770
145.106,777,770,1547,770
145.103,777,770,1547,770
155.927,859,769,1628,769
155.935,859,769,1628,769
143.944,841,769,1610,769
143.936,840,769,1609,769
150.456,805,769,1574,769
155.93,858,768,1626,768
155.917,857,768,1625,768
155.915,857,768,1625,768
155.919,857,768,1625,768
143.918,832,768,1600,768
156.72,809,768,1577,768
146.559,907,767,1674,767
155.882,847,767,1614,767
143.92,832,767,1599,767
156.726,808,767,1575,767
145.111,772,767,1539,767
145.117,767,769,1536,767
146.558,907,766,1673,766
155.893,853,766,1619,766
155.908,852,766,1618,766
155.895,852,766,1618,766
155.903,851,766,1617,766
155.892,851,766,1617,766
155.886,849,766,1615,766
155.884,848,766,1614,766
155.885,848,766,1614,766
156.732,804,766,1570,766
145.12,766,766,1532,766
145.122,766,766,1532,766
143.915,831,765,1596,765
146.554,902,764,1666,764
155.873,849,764,1613,764
155.866,847,764,1611,764
155.869,846,764,1610,764
156.734,803,764,1567,764
146.553,903,762,1665,762
145.126,767,762,1529,762
145.149,763,762,1525,762
146.548,899,761,1660,761
143.908,829,761,1590,761
143.906,829,761,1590,761
150.475,802,761,1563,761
145.153,761,763,1524,761
146.544,896,760,1656,760
150.469,804,760,1564,760
156.746,800,760,1560,760
145.13,770,760,1530,760
145.134,767,760,1527,760
146.546,896,759,1655,759
155.842,849,759,1608,759
155.841,849,759,1608,759
155.837,847,759,1606,759
156.747,800,759,1559,759
155.834,847,758,1605,758
156.758,803,758,1561,758
156.751,802,758,1560,758
156.806,801,758,1559,758
156.799,801,758,1559,758
156.798,801,758,1559,758
156.803,801,758,1559,758
150.484,799,758,1557,758
156.797,799,758,1557,758
156.795,798,758,1556,758
145.14,767,758,1525,758
146.539,894,757,1651,757
146.538,893,757,1650,757
156.743,802,757,1559,757
156.815,801,757,1558,757
156.783,797,757,1554,757
146.537,892,756,1648,756
155.819,844,755,1599,755
155.824,843,755,1598,755
143.898,828,755,1583,755
156.821,801,755,1556,755
156.777,798,755,1553,755
155.808,842,754,1596,754
150.5,793,754,1547,754
155.813,842,753,1595,753
143.888,828,753,1581,753
143.893,824,753,1577,753
156.824,799,753,1552,753
145.163,753,761,1514,753
146.535,890,752,1642,752
145.212,753,752,1505,752
146.533,887,751,1638,751
143.855,818,751,1569,751
145.167,751,759,1510,751
145.214,751,752,1503,751
145.175,752,751,1503,751
145.198,751,751,1502,751
146.525,885,750,1635,750
155.801,840,750,1590,750
143.871,825,750,1575,750
143.865,825,750,1575,750
143.86,822,750,1572,750
143.851,814,750,1564,750
143.849,813,750,1563,750
143.85,813,750,1563,750
150.512,789,750,1539,750
145.182,750,753,1503,750
145.183,750,752,1502,750
145.221,750,751,1501,750
145.191,750,751,1501,750
155.787,832,749,1581,749
155.779,831,749,1580,749
143.846,808,749,1557,749
143.823,793,749,1542,749
150.513,790,749,1539,749
145.184,749,754,1503,749
145.181,749,753,1502,749
156.838,800,748,1548,748
150.529,788,748,1536,748
150.522,787,748,1535,748
145.187,748,754,1502,748
150.532,789,747,1536,747
150.531,789,747,1536,747
145.224,747,749,1496,747
146.521,882,746,1628,746
143.819,791,746,1537,746
146.509,875,745,1620,745
155.739,830,745,1575,745
155.745,828,745,1573,745
155.746,827,745,1572,745
155.747,827,745,1572,745
155.742,827,745,1572,745
145.232,745,745,1490,745
155.758,829,744,1573,744
155.759,829,744,1573,744
156.854,793,744,1537,744
155.729,831,743,1574,743
155.761,828,743,1571,743
155.732,829,742,1571,742
155.752,828,742,1570,742
155.401,799,742,1541,742
156.858,792,742,1534,742
143.802,794,741,1535,741
143.808,793,741,1534,741
143.795,789,741,1530,741
145.236,741,744,1485,741
146.503,874,740,1614,740
146.498,868,740,1608,740
155.719,833,740,1573,740
155.694,828,740,1568,740
150.543,778,740,1518,740
155.716,832,739,1571,739
155.72,832,739,1571,739
155.723,832,739,1571,739
155.697,830,739,1569,739
155.617,813,739,1552,739
155.414,802,739,1541,739
155.398,798,739,1537,739
143.799,793,739,1532,739
143.806,793,739,1532,739
155.707,832,738,1570,738
155.717,832,738,1570,738
155.624,815,738,1553,738
155.415,802,738,1540,738
143.805,794,738,1532,738
155.532,810,737,1547,737
155.396,796,737,1533,737
156.87,791,737,1528,737
146.495,865,736,1601,736
155.702,832,736,1568,736
155.535,807,736,1543,736
155.507,805,736,1541,736
155.389,796,736,1532,736
145.259,736,736,1472,736
143.783,784,735,1519,735
155.634,823,734,1557,734
155.528,810,734,1544,734
155.527,810,734,1544,734
155.541,805,734,1539,734
155.489,797,734,1531,734
155.393,796,734,1530,734
155.491,796,734,1530,734
156.886,790,734,1524,734
156.887,788,734,1522,734
155.637,823,733,1556,733
155.608,814,733,1547,733
155.521,812,733,1545,733
155.518,810,733,1543,733
155.366,806,733,1539,733
155.363,806,733,1539,733
155.361,805,733,1538,733
155.358,805,733,1538,733
155.465,802,733,1535,733
155.379,802,733,1535,733
155.502,800,733,1533,733
155.492,796,733,1529,733
156.888,787,733,1520,733
143.779,782,733,1515,733
146.491,865,732,1597,732
155.643,821,732,1553,732
155.603,813,732,1545,732
155.341,807,732,1539,732
155.514,807,732,1539,732
155.349,805,732,1537,732
155.503,803,732,1535,732
155.464,802,732,1534,732
155.427,801,732,1533,732
155.493,799,732,1531,732
145.264,739,732,1471,732
146.49,862,731,1593,731
155.647,824,731,1555,731
155.522,812,731,1543,731
155.344,806,731,1537,731
155.55,805,731,1536,731
155.356,804,731,1535,731
155.471,801,731,1532,731
155.684,826,730,1556,730
155.354,804,730,1534,730
155.372,802,730,1532,730
155.683,826,729,1555,729
155.37,804,729,1533,729
143.771,781,729,1510,729
143.774,779,729,1508,729
155.651,822,728,1550,728
155.552,803,728,1531,728
155.457,799,728,1527,728
156.894,788,728,1516,728
146.483,860,727,1587,727
155.449,801,727,1528,727
156.902,790,727,1517,727
156.905,790,727,1517,727
155.674,820,726,1546,726
156.91,786,726,1512,726
150.568,768,726,1494,726
146.479,859,725,1584,725
146.481,858,725,1583,725
155.564,809,725,1534,725
150.562,772,725,1497,725
155.572,811,724,1535,724
143.764,781,724,1505,724
150.572,767,724,1491,724
155.574,811,723,1534,723
155.577,810,723,1533,723
156.921,785,723,1508,723
143.766,782,723,1505,723
145.294,725,723,1448,723
146.47,857,722,1579,722
155.322,804,722,1526,722
156.929,788,722,1510,722
145.29,729,722,1451,722
145.277,736,721,1457,721
145.287,731,721,1452,721
146.462,850,720,1570,720
143.75,787,720,1507,720
146.459,849,719,1568,719
146.458,846,719,1565,719
145.28,733,719,1452,719
145.281,732,719,1451,719
155.307,810,718,1528,718
155.301,814,717,1531,717
146.443,843,716,1559,716
155.3,815,716,1531,716
155.305,813,716,1529,716
155.303,812,716,1528,716
146.441,842,715,1557,715
146.44,841,715,1556,715
155.287,813,715,1528,715
156.952,787,715,1502,715
156.953,787,715,1502,715
156.954,787,715,1502,715
146.435,836,714,1550,714
155.283,813,714,1527,714
156.947,786,714,1500,714
156.949,786,714,1500,714
146.429,836,713,1549,713
155.282,812,713,1525,713
150.581,769,713,1482,713
155.206,816,712,1528,712
155.232,816,711,1527,711
155.212,816,711,1527,711
155.236,813,711,1524,711
155.248,812,711,1523,711
156.956,786,711,1497,711
156.943,784,711,1495,711
143.731,780,711,1491,711
155.213,817,710,1527,710
155.202,814,710,1524,710
155.247,810,710,1520,710
143.728,778,710,1488,710
143.727,778,710,1488,710
145.309,710,719,1429,710
145.306,710,718,1428,710
155.264,812,709,1521,709
150.588,764,709,1473,709
145.313,709,716,1425,709
146.424,830,708,1538,708
146.421,828,708,1536,708
146.417,824,708,1532,708
155.262,810,708,1518,708
143.698,767,708,1475,708
146.414,820,707,1527,707
155.193,816,707,1523,707
143.679,765,707,1472,707
143.694,765,707,1472,707
143.689,764,707,1471,707
145.318,707,716,1423,707
155.198,813,706,1519,706
156.962,784,706,1490,706
143.722,781,706,1487,706
143.723,780,706,1486,706
143.703,767,706,1473,706
143.696,765,706,1471,706
143.669,760,706,1466,706
150.601,758,706,1464,706
146.388,807,705,1512,705
150.606,756,705,1461,705
150.618,750,705,1455,705
145.324,705,714,1419,705
146.391,808,704,1512,704
143.708,772,704,1476,704
150.591,763,704,1467,704
146.402,814,703,1517,703
157.019,771,703,1474,703
150.602,758,703,1461,703
150.622,750,703,1453,703
150.623,748,703,1451,703
156.986,780,702,1482,702
143.711,774,702,1476,702
150.619,750,702,1452,702
150.636,740,702,1442,702
145.327,702,713,1415,702
156.983,781,701,1482,701
156.999,774,701,1475,701
143.661,757,701,1458,701
150.615,754,701,1455,701
155.182,817,700,1517,700
157.023,773,700,1473,700
145.348,700,701,1401,700
156.992,774,698,1472,698
156.994,772,698,1470,698
143.651,752,698,1450,698
157.032,771,697,1468,697
143.643,748,697,1445,697
150.645,742,697,1439,697
150.642,742,697,1439,697
155.157,812,694,1506,694
143.602,747,694,1441,694
157.056,772,692,1464,692
157.064,768,692,1460,692
157.066,768,692,1460,692
143.609,749,692,1441,692
143.603,748,692,1440,692
145.36,702,692,1394,692
155.152,813,691,1504,691
157.054,774,691,1465,691
157.051,774,691,1465,691
157.039,771,691,1462,691
150.651,741,691,1432,691
145.361,701,691,1392,691
157.071,766,689,1455,689
146.256,748,689,1437,689
143.595,740,689,1429,689
146.205,734,689,1423,689
145.367,701,689,1390,689
157.07,769,688,1457,688
157.076,767,688,1455,688
157.094,761,688,1449,688
143.444,739,688,1427,688
143.443,739,688,1427,688
146.185,721,688,1409,688
145.363,700,688,1388,688
145.368,700,688,1388,688
155.143,811,687,1498,687
150.654,739,687,1426,687
143.442,739,687,1426,687
143.459,736,687,1423,687
143.449,734,687,1421,687
146.197,730,687,1417,687
146.192,730,687,1417,687
150.677,727,687,1414,687
146.187,723,687,1410,687
146.177,719,687,1406,687
146.167,719,687,1406,687
155.138,810,686,1496,686
150.656,738,686,1424,686
143.592,736,686,1422,686
143.437,735,686,1421,686
145.39,693,686,1379,686
157.101,759,685,1444,685
146.267,752,685,1437,685
146.266,751,685,1436,685
146.239,745,685,1430,685
143.452,735,685,1420,685
143.453,735,685,1420,685
146.209,735,685,1420,685
143.589,735,685,1420,685
146.213,732,685,1417,685
150.68,727,685,1412,685
146.182,720,685,1405,685
157.118,753,684,1437,684
146.271,751,684,1435,684
146.247,747,684,1431,684
146.226,742,684,1426,684
143.461,736,684,1420,684
143.581,735,684,1419,684
143.428,733,684,1417,684
150.685,720,684,1404,684
145.391,693,684,1377,684
146.365,786,683,1469,683
146.246,746,683,1429,683
146.227,745,683,1428,683
146.236,745,683,1428,683
146.223,742,683,1425,683
143.465,736,683,1419,683
143.571,735,683,1418,683
143.419,734,683,1417,683
143.433,730,683,1413,683
146.277,752,682,1434,682
143.545,738,682,1420,682
143.521,738,682,1420,682
143.543,738,682,1420,682
143.542,737,682,1419,682
143.487,734,682,1416,682
143.397,734,682,1416,682
150.688,722,682,1404,682
150.691,721,682,1403,682
157.141,748,681,1429,681
143.539,740,681,1421,681
143.556,736,681,1417,681
143.569,736,681,1417,681
143.467,734,681,1415,681
145.394,693,681,1374,681
157.127,750,680,1430,680
157.154,749,680,1429,680
146.231,744,680,1424,680
143.395,736,680,1416,680
143.475,732,680,1412,680
143.492,732,680,1412,680
143.493,732,680,1412,680
157.211,730,680,1410,680
146.162,717,680,1397,680
155.119,808,679,1487,679
146.351,772,679,1451,679
157.155,750,679,1429,679
157.145,748,679,1427,679
143.533,741,679,1420,679
143.503,738,679,1417,679
143.39,734,679,1413,679
143.552,734,679,1413,679
143.498,733,679,1412,679
146.131,723,679,1402,679
146.282,749,678,1427,678
157.132,747,678,1425,678
150.695,722,678,1400,678
155.075,809,677,1486,677
146.327,765,677,1442,677
157.163,743,677,1420,677
146.326,764,676,1440,676
146.316,753,676,1429,676
146.283,749,676,1425,676
157.228,728,676,1404,676
157.222,728,676,1404,676
150.698,721,676,1397,676
146.142,718,676,1394,676
145.409,691,676,1367,676
146.284,749,675,1424,675
157.17,746,675,1421,675
157.186,740,675,1415,675
157.194,733,675,1408,675
157.196,732,675,1407,675
146.136,722,675,1397,675
145.463,683,675,1358,675
146.286,750,674,1424,674
157.181,741,674,1415,674
157.193,732,674,1406,674
146.097,710,674,1384,674
155.062,808,673,1481,673
155.096,803,673,1476,673
146.107,710,673,1383,673
146.081,708,673,1381,673
155.069,807,672,1479,672
146.285,750,672,1422,672
155.087,806,671,1477,671
146.076,707,671,1378,671
151.143,674,671,1345,671
146.31,754,670,1424,670
146.292,752,670,1422,670
146.068,707,670,1377,670
155.056,803,669,1472,669
146.309,755,669,1424,669
146.295,752,669,1421,669
146.307,751,669,1420,669
155.054,801,668,1469,668
155.048,799,668,1467,668
146.308,753,668,1421,668
151.163,674,668,1342,668
151.183,672,668,1340,668
146.298,750,667,1417,667
145.44,691,667,1358,667
151.167,675,667,1342,667
155.044,798,666,1464,666
155.043,797,666,1463,666
150.716,716,666,1382,666
150.72,712,666,1378,666
151.189,671,666,1337,666
151.192,667,666,1333,666
146.048,705,665,1370,665
145.426,692,665,1357,665
151.128,684,665,1349,665
151.129,683,665,1348,665
151.149,674,665,1339,665
143.34,723,664,1387,664
157.258,722,664,1386,664
143.327,719,664,1383,664
146.035,700,664,1364,664
145.424,692,664,1356,664
151.194,664,665,1329,664
143.337,723,663,1386,663
143.26,716,663,1379,663
150.725,712,663,1375,663
146.031,702,663,1365,663
151.156,677,663,1340,663
143.267,718,662,1380,662
151.122,691,662,1353,662
155.022,790,661,1451,661
143.314,723,661,1384,661
157.266,721,661,1382,661
157.263,720,661,1381,661
143.32,722,660,1382,660
143.319,722,660,1382,660
151.065,711,660,1371,660
150.732,710,660,1370,660
143.304,723,659,1382,659
150.73,711,659,1370,659
151.102,698,659,1357,659
151.119,692,659,1351,659
151.2,659,661,1320,659
143.271,719,658,1377,658
151.059,711,658,1369,658
151.083,705,658,1363,658
146.007,698,658,1356,658
145.479,678,658,1336,658
143.288,723,657,1380,657
143.282,720,657,1377,657
143.281,720,657,1377,657
151.202,657,661,1318,657
157.275,722,656,1378,656
151.052,715,656,1371,656
150.744,710,656,1366,656
150.743,710,656,1366,656
145.993,694,656,1350,656
155.015,791,655,1446,655
155.001,790,655,1445,655
157.292,725,655,1380,655
143.292,724,655,1379,655
143.298,720,655,1375,655
143.278,718,655,1373,655
151.056,711,655,1366,655
155.007,791,654,1445,654
154.997,786,654,1440,654
157.284,723,654,1377,654
157.286,722,654,1376,654
145.949,702,654,1356,654
145.976,696,654,1350,654
145.484,674,654,1328,654
157.311,727,653,1380,653
157.296,726,653,1379,653
157.28,721,653,1374,653
151.034,718,653,1371,653
150.747,708,653,1361,653
157.387,703,653,1356,653
145.948,702,653,1355,653
145.481,675,653,1328,653
151.206,653,662,1315,653
151.208,653,662,1315,653
155.009,790,652,1442,652
154.999,786,652,1438,652
154.974,780,652,1432,652
157.31,727,652,1379,652
157.364,718,652,1370,652
157.37,710,652,1362,652
157.392,703,652,1355,652
157.386,703,652,1355,652
157.393,702,652,1354,652
145.951,701,652,1353,652
145.957,700,652,1352,652
145.909,700,652,1352,652
145.906,700,652,1352,652
145.895,700,652,1352,652
145.494,669,652,1321,652
151.211,652,660,1312,652
151.228,652,659,1311,652
145.566,657,652,1309,652
154.97,777,651,1428,651
154.965,774,651,1425,651
154.953,768,651,1419,651
154.954,768,651,1419,651
143.183,719,651,1370,651
157.362,718,651,1369,651
157.359,717,651,1368,651
143.15,711,651,1362,651
157.378,708,651,1359,651
145.954,702,651,1353,651
145.924,701,651,1352,651
145.896,700,651,1351,651
145.918,700,651,1351,651
145.497,672,651,1323,651
151.23,651,659,1310,651
154.977,781,650,1431,650
157.335,730,650,1380,650
143.178,717,650,1367,650
143.152,712,650,1362,650
145.941,704,650,1354,650
145.934,703,650,1353,650
145.901,701,650,1351,650
145.902,701,650,1351,650
145.9,700,650,1350,650
157.409,693,650,1343,650
151.217,650,660,1310,650
145.526,660,650,1310,650
151.218,650,659,1309,650
145.558,658,650,1308,650
145.513,658,650,1308,650
145.512,658,650,1308,650
157.344,724,649,1373,649
157.346,724,649,1373,649
151.019,723,649,1372,649
151.025,721,649,1370,649
143.161,716,649,1365,649
143.162,716,649,1365,649
143.156,712,649,1361,649
150.75,708,649,1357,649
145.93,703,649,1352,649
145.928,702,649,1351,649
157.402,696,649,1345,649
157.405,696,649,1345,649
157.413,691,649,1340,649
154.951,770,648,1418,648
151.021,724,648,1372,648
157.35,721,648,1369,648
143.231,717,648,1365,648
143.176,716,648,1364,648
150.753,708,648,1356,648
145.873,689,648,1337,648
145.537,660,648,1308,648
154.948,774,647,1421,647
154.9,756,647,1403,647
157.42,688,647,1335,647
145.577,655,647,1302,647
150.971,730,646,1376,646
150.754,708,646,1354,646
157.461,665,646,1311,646
154.877,757,645,1402,645
154.875,750,645,1395,645
151.004,728,645,1373,645
145.879,688,645,1333,645
157.47,660,645,1305,645
145.553,659,645,1304,645
154.937,768,644,1412,644
154.91,759,644,1403,644
154.869,749,644,1393,644
154.871,749,644,1393,644
150.962,726,644,1370,644
143.218,714,644,1358,644
143.225,713,644,1357,644
150.837,706,644,1350,644
157.465,663,644,1307,644
157.474,661,644,1305,644
145.545,658,644,1302,644
145.583,655,644,1299,644
154.923,764,643,1407,643
150.945,725,643,1368,643
143.216,715,643,1358,643
150.883,714,643,1357,643
143.096,704,643,1347,643
145.864,686,643,1329,643
145.551,659,643,1302,643
151.244,643,657,1300,643
151.243,643,657,1300,643
151.246,643,656,1299,643
154.922,763,642,1405,642
154.926,762,642,1404,642
151.003,730,642,1372,642
150.997,729,642,1371,642
150.957,727,642,1369,642
143.198,723,642,1365,642
150.884,715,642,1357,642
143.087,699,642,1341,642
145.584,655,642,1297,642
154.933,765,641,1406,641
150.942,726,641,1367,641
150.985,725,641,1366,641
150.984,725,641,1366,641
150.9,713,641,1354,641
145.86,685,641,1326,641
145.592,658,641,1299,641
157.504,643,641,1284,641
154.856,750,640,1390,640
154.867,749,640,1389,640
150.987,727,640,1367,640
150.935,724,640,1364,640
150.89,716,640,1356,640
150.894,713,640,1353,640
150.899,712,640,1352,640
150.842,707,640,1347,640
143.08,699,640,1339,640
143.067,696,640,1336,640
145.601,662,640,1302,640
157.49,653,640,1293,640
157.494,648,640,1288,640
157.505,641,640,1281,640
143.134,707,639,1346,639
143.076,696,639,1335,639
145.853,688,639,1327,639
145.857,686,639,1325,639
154.849,746,638,1384,638
150.927,720,638,1358,638
150.875,713,638,1351,638
150.776,711,638,1349,638
150.768,711,638,1349,638
150.774,710,638,1348,638
150.821,706,638,1344,638
143.062,699,638,1337,638
143.078,696,638,1334,638
143.06,695,638,1333,638
145.851,689,638,1327,638
150.767,711,637,1348,637
150.77,711,637,1348,637
150.816,706,637,1343,637
143.102,704,637,1341,637
145.838,694,637,1331,637
143.073,694,637,1331,637
145.667,668,637,1305,637
145.62,665,637,1302,637
151.256,637,653,1290,637
154.848,745,636,1381,636
150.794,719,636,1355,636
150.861,712,636,1348,636
150.851,709,636,1345,636
150.815,706,636,1342,636
143.051,694,636,1330,636
145.845,692,636,1328,636
145.666,668,636,1304,636
145.641,667,636,1303,636
145.617,664,636,1300,636
157.515,639,636,1275,636
150.912,712,635,1347,635
143.125,707,635,1342,635
145.625,668,635,1303,635
145.671,665,635,1300,635
151.257,635,650,1285,635
154.845,741,634,1375,634
154.837,738,634,1372,634
150.792,719,634,1353,634
150.79,718,634,1352,634
150.916,714,634,1348,634
150.81,710,634,1344,634
143.048,694,634,1328,634
143.043,693,634,1327,634
145.843,693,634,1327,634
143.036,691,634,1325,634
145.773,683,634,1317,634
154.836,741,633,1374,633
154.844,741,633,1374,633
154.835,740,633,1373,633
143.112,704,633,1337,633
143.047,694,633,1327,633
143.044,694,633,1327,633
145.77,685,633,1318,633
145.692,668,633,1301,633
145.788,691,632,1323,632
145.827,699,631,1330,631
145.828,699,631,1330,631
145.632,669,631,1300,631
151.262,631,645,1276,631
151.265,631,644,1275,631
154.815,742,630,1372,630
154.801,739,630,1369,630
145.801,696,630,1326,630
143.032,689,630,1319,630
145.765,683,628,1311,628
145.762,681,628,1309,628
151.271,628,641,1269,628
151.283,628,636,1264,628
154.797,736,627,1363,627
154.784,735,627,1362,627
145.763,683,627,1310,627
145.757,681,626,1307,626
145.752,679,626,1305,626
145.754,681,625,1306,625
145.753,679,625,1304,625
145.737,677,625,1302,625
145.731,676,625,1301,625
145.734,678,624,1302,624
154.763,735,623,1358,623
